Freq.	V(vout)/(V(vinp)-V(vinn))
7.07945784384132e+008	(-3.87621621796809e+001dB,-1.69569406898527e+002°)
7.94328234724274e+008	(-4.03820251289809e+001dB,-1.73965883553162e+002°)
8.91250938133737e+008	(-4.20083289376659e+001dB,-1.78481513485551e+002°)
9.99999999999991e+008	(-4.36354618233456e+001dB,1.76898152078970e+002°)
1.12201845430195e+009	(-4.52567550446056e+001dB,1.72191572167490e+002°)
1.25892541179416e+009	(-4.68648104667941e+001dB,1.67420848846358e+002°)
1.41253754462274e+009	(-4.84519537546679e+001dB,1.62611708827957e+002°)
1.58489319246110e+009	(-5.00107537178673e+001dB,1.57793573457467e+002°)
1.77827941003891e+009	(-5.15345451862242e+001dB,1.52999368373410e+002°)
1.99526231496886e+009	(-5.30178925768974e+001dB,1.48264781939409e+002°)
2.23872113856832e+009	(-5.44569359441052e+001dB,1.43626856628037e+002°)
2.51188643150955e+009	(-5.58495751828650e+001dB,1.39122024181096e+002°)
2.81838293126442e+009	(-5.71954728413691e+001dB,1.34783888893363e+002°)
3.16227766016835e+009	(-5.84958874070899e+001dB,1.30641152838493e+002°)
3.54813389233572e+009	(-5.97533779167062e+001dB,1.26716037111203e+002°)
3.98107170553493e+009	(-6.09714381478248e+001dB,1.23023412152208e+002°)
4.46683592150958e+009	(-6.21541203035591e+001dB,1.19570672706726e+002°)
5.01187233627267e+009	(-6.33056962411519e+001dB,1.16358243068728e+002°)
5.62341325190343e+009	(-6.44303854285925e+001dB,1.13380513488783e+002°)
6.30957344480186e+009	(-6.55321598718058e+001dB,1.10626992387905e+002°)
7.07945784384130e+009	(-6.66146218301926e+001dB,1.08083491492955e+002°)
7.94328234724273e+009	(-6.76809417732144e+001dB,1.05733216040107e+002°)
8.91250938133735e+009	(-6.87338410021010e+001dB,1.03557688219372e+002°)
9.99999999999989e+009	(-6.97756039550232e+001dB,1.01537477292352e+002°)
1.12201845430195e+010	(-7.08081076805165e+001dB,9.96527404059359e+001°)
1.25892541179415e+010	(-7.18328590026055e+001dB,9.78835954531650e+001°)
1.41253754462274e+010	(-7.28510327413895e+001dB,9.62103547488681e+001°)
1.58489319246109e+010	(-7.38635066512113e+001dB,9.46136494490062e+001°)
1.77827941003890e+010	(-7.48708904209938e+001dB,9.30744724837251e+001°)
1.99526231496886e+010	(-7.58735472136683e+001dB,9.15741643169913e+001°)
2.23872113856831e+010	(-7.68716069245381e+001dB,9.00943624250909e+001°)
2.51188643150955e+010	(-7.78649707399942e+001dB,8.86169326871483e+001°)
2.81838293126442e+010	(-7.88533067970678e+001dB,8.71238992855346e+001°)
3.16227766016834e+010	(-7.98360368869600e+001dB,8.55973893778573e+001°)
3.54813389233571e+010	(-8.08123143119637e+001dB,8.40196097356619e+001°)
3.98107170553492e+010	(-8.17809932975184e+001dB,8.23728746474377e+001°)
4.46683592150957e+010	(-8.27405908924766e+001dB,8.06397073719739e+001°)
5.01187233627266e+010	(-8.36892431867580e+001dB,7.88030407422720e+001°)
5.62341325190342e+010	(-8.46246590654922e+001dB,7.68465451133523e+001°)
6.30957344480185e+010	(-8.55440767035669e+001dB,7.47551120054162e+001°)
7.07945784384129e+010	(-8.64442305916287e+001dB,7.25155169173803e+001°)
7.94328234724271e+010	(-8.73213398784771e+001dB,7.01172714499096e+001°)
8.91250938133734e+010	(-8.81711316694099e+001dB,6.75536493524506e+001°)
1.00000000000000e+011	(-8.89889145994700e+001dB,6.48228307624677e+001°)
